iter	Passed	Remaining
596	3520	2376
597	3526	2370
598	3531	2364
599	3537	2358
600	3542	2351
601	3548	2345
602	3554	2339
603	3559	2333
604	3564	2327
605	3570	2321
606	3575	2314
607	3580	2308
608	3586	2302
609	3592	2296
610	3597	2290
611	3603	2284
612	3609	2278
613	3614	2272
614	3620	2266
615	3626	2260
616	3631	2254
617	3637	2248
618	3644	2243
619	3650	2237
620	3656	2231
621	3662	2225
622	3667	2219
623	3673	2213
624	3678	2207
625	3683	2200
626	3689	2194
627	3695	2188
628	3700	2182
629	3706	2176
630	3712	2171
631	3718	2165
632	3723	2158
633	3729	2152
634	3735	2146
635	3740	2140
636	3745	2134
637	3751	2128
638	3756	2122
639	3762	2116
640	3768	2110
641	3773	2104
642	3779	2098
643	3784	2092
644	3790	2086
645	3796	2080
646	3801	2073
647	3807	2068
648	3813	2062
649	3818	2056
650	3824	2050
651	3829	2044
652	3835	2038
653	3840	2032
654	3846	2026
655	3852	2020
656	3857	2014
657	3863	2008
658	3869	2002
659	3874	1996
660	3880	1989
661	3886	1984
662	3891	1977
663	3896	1971
664	3901	1965
665	3907	1959
666	3913	1953
667	3918	1947
668	3924	1941
669	3930	1935
670	3935	1929
671	3941	1923
672	3947	1917
673	3952	1911
674	3958	1906
675	3964	1900
676	3970	1894
677	3976	1888
678	3981	1882
679	3987	1876
680	3993	1870
681	3998	1864
682	4004	1858
683	4010	1852
684	4016	1846
685	4022	1841
686	4027	1834
687	4033	1829
688	4038	1822
689	4044	1816
690	4050	1811
691	4055	1805
692	4061	1799
693	4067	1793
694	4073	1787
695	4078	1781
696	4084	1775
697	4090	1769
698	4095	1763
699	4100	1757
700	4106	1751
701	4112	1745
702	4118	1739
703	4123	1733
704	4128	1727
705	4134	1721
706	4140	1715
707	4145	1709
708	4151	1704
709	4157	1697
710	4162	1691
711	4168	1686
712	4174	1680
713	4179	1674
714	4185	1668
715	4191	1662
716	4197	1656
717	4202	1650
718	4209	1645
719	4215	1639
720	4221	1633
721	4226	1627
722	4231	1621
723	4237	1615
724	4243	1609
725	4249	1603
726	4255	1598
727	4261	1592
728	4266	1586
729	4272	1580
730	4278	1574
731	4284	1568
732	4289	1562
733	4295	1556
734	4301	1550
735	4307	1544
736	4313	1539
737	4318	1533
738	4324	1527
739	4329	1521
740	4335	1515
741	4340	1509
742	4346	1503
743	4352	1497
744	4358	1491
745	4364	1485
746	4369	1480
747	4375	1474
748	4380	1468
749	4387	1462
750	4393	1456
751	4398	1450
752	4404	1444
753	4410	1439
754	4416	1433
755	4422	1427
756	4428	1421
757	4434	1415
758	4440	1409
759	4445	1403
760	4451	1398
761	4458	1392
762	4464	1386
763	4469	1380
764	4475	1374
765	4481	1368
766	4486	1363
767	4493	1357
768	4498	1351
769	4504	1345
770	4509	1339
771	4515	1333
772	4520	1327
773	4525	1321
774	4531	1315
775	4536	1309
776	4543	1303
777	4548	1297
778	4554	1292
779	4560	1286
780	4566	1280
781	4572	1274
782	4578	1268
783	4583	1262
784	4589	1257
785	4595	1251
786	4601	1245
787	4606	1239
788	4612	1233
789	4618	1227
790	4624	1221
791	4630	1216
792	4636	1210
793	4642	1204
794	4648	1198
795	4655	1192
796	4661	1187
797	4667	1181
798	4673	1175
799	4680	1170
800	4686	1164
801	4692	1158
802	4698	1152
803	4704	1146
804	4710	1140
805	4716	1135
806	4722	1129
807	4728	1123
808	4734	1117
809	4740	1112
810	4746	1106
811	4752	1100
812	4757	1094
813	4763	1088
814	4769	1082
815	4776	1076
816	4781	1071
817	4787	1065
818	4793	1059
819	4799	1053
820	4804	1047
821	4810	1041
822	4816	1035
823	4822	1029
824	4828	1024
825	4834	1018
826	4839	1012
827	4845	1006
828	4851	1000
829	4856	994
830	4861	988
831	4867	982
832	4873	977
833	4879	971
834	4885	965
835	4891	959
836	4897	953
837	4903	947
838	4909	942
839	4915	936
840	4921	930
841	4927	924
842	4934	918
843	4940	913
844	4945	907
845	4951	901
846	4956	895
847	4962	889
848	4968	883
849	4975	877
850	4980	872
851	4986	866
852	4992	860
853	4998	854
854	5004	848
855	5010	842
856	5016	837
857	5022	831
858	5027	825
859	5032	819
860	5038	813
861	5045	807
862	5051	801
863	5056	795
864	5062	790
865	5068	784
866	5073	778
867	5079	772
868	5085	766
869	5090	760
870	5096	754
871	5102	749
872	5109	743
873	5114	737
874	5120	731
875	5125	725
876	5131	719
877	5137	713
878	5143	708
879	5149	702
880	5155	696
881	5161	690
882	5167	684
883	5173	678
884	5179	673
885	5185	667
886	5191	661
887	5197	655
888	5203	649
889	5209	643
890	5215	637
891	5220	632
892	5225	626
893	5231	620
894	5237	614
895	5242	608
896	5249	602
897	5255	596
898	5261	591
899	5266	585
900	5272	579
901	5277	573
902	5283	567
903	5289	561
904	5295	555
905	5300	549
906	5306	544
907	5312	538
908	5317	532
909	5324	526
910	5330	520
911	5335	514
912	5341	508
913	5346	503
914	5351	497
915	5357	491
916	5362	485
917	5368	479
918	5373	473
919	5379	467
920	5385	461
921	5390	456
922	5397	450
923	5403	444
924	5409	438
925	5415	432
926	5421	426
927	5427	421
928	5432	415
929	5438	409
930	5445	403
931	5450	397
932	5456	391
933	5462	385
934	5468	380
935	5473	374
936	5479	368
937	5485	362
938	5490	356
939	5495	350
940	5501	344
941	5506	339
942	5512	333
943	5518	327
944	5524	321
945	5530	315
946	5536	309
947	5543	304
948	5548	298
949	5554	292
950	5560	286
951	5566	280
952	5572	274
953	5578	268
954	5584	263
955	5589	257
956	5594	251
957	5600	245
958	5605	239
959	5611	233
960	5618	227
961	5623	222
962	5629	216
963	5635	210
964	5641	204
965	5647	198
966	5652	192
967	5658	187
968	5664	181
969	5669	175
970	5675	169
971	5681	163
972	5686	157
973	5692	151
974	5697	146
975	5703	140
976	5709	134
977	5715	128
978	5721	122
979	5727	116
980	5733	111
981	5739	105
982	5745	99
983	5752	93
984	5758	87
985	5764	81
986	5770	76
987	5776	70
988	5781	64
989	5787	58
990	5793	52
991	5799	46
992	5806	40
993	5811	35
994	5817	29
995	5823	23
996	5829	17
997	5834	11
998	5840	5
999	5846	0
